layer	kind	tensor	expert_idx	current_nbytes	remote_nbytes	remote_type	source_pack
1	gate	blk.1.ffn_gate_exps.weight	116	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	121	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	125	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	128	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	129	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	134	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	141	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	142	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	144	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	147	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	148	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	152	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	153	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	156	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	163	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	167	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	173	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	175	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	178	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	181	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	183	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	185	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	187	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	189	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	195	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	197	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	203	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	204	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	214	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	218	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	220	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	221	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	222	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	224	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	230	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	238	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	239	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	241	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	248	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	250	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	254	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	255	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	256	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	257	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	261	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	263	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	265	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	278	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	284	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	285	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	286	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	300	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	302	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	304	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	306	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	307	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	308	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	310	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	316	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	317	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	319	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	321	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	331	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	332	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	333	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	338	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	344	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	347	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	355	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	366	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	367	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	368	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	369	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	377	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	gate	blk.1.ffn_gate_exps.weight	380	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	2	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	5	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	6	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	7	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	11	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	15	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	19	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	23	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	24	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	25	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	26	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	28	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	34	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	41	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	43	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	45	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	48	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	55	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	56	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	58	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	60	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	62	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	65	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	68	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	71	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	76	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	80	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	82	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	90	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	92	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	93	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	99	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	112	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	114	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	116	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	121	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	125	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	128	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	129	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	134	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	141	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	142	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	144	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	147	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	148	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	152	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	153	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	156	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	163	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	167	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	173	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	175	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	178	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	181	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	183	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	185	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	187	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	189	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	195	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	197	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	203	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	204	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	214	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	218	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	220	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	221	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	222	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	224	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	230	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
1	up	blk.1.ffn_up_exps.weight	238	4702208	2867200	IQ1_S	mradermacher-i1-IQ1_S-dev-route-budgeted
