entry_idx	tensor	expert_idx	kind	layer	remote_type	current_nbytes	remote_nbytes	runtime_nbytes_match	remote_shard_name	remote_url	remote_abs_start	remote_abs_end	remote_range_header	remote_range_valid	pack_offset	source_pack
10	blk.1.ffn_down_exps.weight	10	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3174209984	3178453439	bytes=3174209984-3178453439	1	47239168	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
11	blk.1.ffn_down_exps.weight	11	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3178453440	3182696895	bytes=3178453440-3182696895	1	51482624	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
12	blk.1.ffn_down_exps.weight	12	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3182696896	3186940351	bytes=3182696896-3186940351	1	55726080	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
13	blk.1.ffn_down_exps.weight	13	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3186940352	3191183807	bytes=3186940352-3191183807	1	59969536	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
14	blk.1.ffn_down_exps.weight	14	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3191183808	3195427263	bytes=3191183808-3195427263	1	64212992	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
15	blk.1.ffn_down_exps.weight	15	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3195427264	3199670719	bytes=3195427264-3199670719	1	68456448	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
16	blk.1.ffn_down_exps.weight	16	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3199670720	3203914175	bytes=3199670720-3203914175	1	72699904	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
17	blk.1.ffn_down_exps.weight	17	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3203914176	3208157631	bytes=3203914176-3208157631	1	76943360	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
18	blk.1.ffn_down_exps.weight	18	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3208157632	3212401087	bytes=3208157632-3212401087	1	81186816	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
19	blk.1.ffn_down_exps.weight	19	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3212401088	3216644543	bytes=3212401088-3216644543	1	85430272	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
20	blk.1.ffn_down_exps.weight	20	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3216644544	3220887999	bytes=3216644544-3220887999	1	89673728	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
21	blk.1.ffn_down_exps.weight	21	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3220888000	3225131455	bytes=3220888000-3225131455	1	93917184	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
22	blk.1.ffn_down_exps.weight	22	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3225131456	3229374911	bytes=3225131456-3229374911	1	98160640	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
23	blk.1.ffn_down_exps.weight	23	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3229374912	3233618367	bytes=3229374912-3233618367	1	102404096	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
24	blk.1.ffn_down_exps.weight	24	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3233618368	3237861823	bytes=3233618368-3237861823	1	106647552	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
25	blk.1.ffn_down_exps.weight	25	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3237861824	3242105279	bytes=3237861824-3242105279	1	110891008	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
26	blk.1.ffn_down_exps.weight	26	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3242105280	3246348735	bytes=3242105280-3246348735	1	115134464	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
27	blk.1.ffn_down_exps.weight	27	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3246348736	3250592191	bytes=3246348736-3250592191	1	119377920	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
28	blk.1.ffn_down_exps.weight	28	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3250592192	3254835647	bytes=3250592192-3254835647	1	123621376	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
29	blk.1.ffn_down_exps.weight	29	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3254835648	3259079103	bytes=3254835648-3259079103	1	127864832	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
30	blk.1.ffn_down_exps.weight	30	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3259079104	3263322559	bytes=3259079104-3263322559	1	132108288	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
31	blk.1.ffn_down_exps.weight	31	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3263322560	3267566015	bytes=3263322560-3267566015	1	136351744	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
32	blk.1.ffn_down_exps.weight	32	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3267566016	3271809471	bytes=3267566016-3271809471	1	140595200	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
33	blk.1.ffn_down_exps.weight	33	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3271809472	3276052927	bytes=3271809472-3276052927	1	144838656	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
34	blk.1.ffn_down_exps.weight	34	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3276052928	3280296383	bytes=3276052928-3280296383	1	149082112	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
35	blk.1.ffn_down_exps.weight	35	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3280296384	3284539839	bytes=3280296384-3284539839	1	153325568	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
36	blk.1.ffn_down_exps.weight	36	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3284539840	3288783295	bytes=3284539840-3288783295	1	157569024	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
37	blk.1.ffn_down_exps.weight	37	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3288783296	3293026751	bytes=3288783296-3293026751	1	161812480	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
38	blk.1.ffn_down_exps.weight	38	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3293026752	3297270207	bytes=3293026752-3297270207	1	166055936	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
39	blk.1.ffn_down_exps.weight	39	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3297270208	3301513663	bytes=3297270208-3301513663	1	170299392	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
40	blk.1.ffn_down_exps.weight	40	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3301513664	3305757119	bytes=3301513664-3305757119	1	174542848	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
41	blk.1.ffn_down_exps.weight	41	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3305757120	3310000575	bytes=3305757120-3310000575	1	178786304	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
42	blk.1.ffn_down_exps.weight	42	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3310000576	3314244031	bytes=3310000576-3314244031	1	183029760	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
43	blk.1.ffn_down_exps.weight	43	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3314244032	3318487487	bytes=3314244032-3318487487	1	187273216	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
44	blk.1.ffn_down_exps.weight	44	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3318487488	3322730943	bytes=3318487488-3322730943	1	191516672	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
45	blk.1.ffn_down_exps.weight	45	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3322730944	3326974399	bytes=3322730944-3326974399	1	195760128	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
46	blk.1.ffn_down_exps.weight	46	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3326974400	3331217855	bytes=3326974400-3331217855	1	200003584	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
47	blk.1.ffn_down_exps.weight	47	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3331217856	3335461311	bytes=3331217856-3335461311	1	204247040	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
48	blk.1.ffn_down_exps.weight	48	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3335461312	3339704767	bytes=3335461312-3339704767	1	208490496	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
49	blk.1.ffn_down_exps.weight	49	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3339704768	3343948223	bytes=3339704768-3343948223	1	212733952	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
50	blk.1.ffn_down_exps.weight	50	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3343948224	3348191679	bytes=3343948224-3348191679	1	216977408	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
51	blk.1.ffn_down_exps.weight	51	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3348191680	3352435135	bytes=3348191680-3352435135	1	221220864	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
52	blk.1.ffn_down_exps.weight	52	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3352435136	3356678591	bytes=3352435136-3356678591	1	225464320	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
53	blk.1.ffn_down_exps.weight	53	down	1	IQ2_XS	6307840	4243456	0	IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	https://huggingface.co/AesSedai/Kimi-K2.7-Code-GGUF/resolve/main/IQ2_XXS/Kimi-K2.7-Code-IQ2_XXS-00002-of-00007.gguf	3356678592	3360922047	bytes=3356678592-3360922047	1	229707776	/root/lfz/runs/ik_llama/kimi-iq3s-assets/kimi-iq3s-l1l2down-overlay.expert-pack
